tick,timestamp,cenario,controlador,msgs_processadas_intervalo,msgs_por_segundo,target_atual,erro_absoluto,erro_relativo,dentro_banda,fila_broker,prefetch_count,decisao,ticks_desde_mudanca_target,prefetch_aplicado
1,1780401706.553,mudanca_target,mlp,666,22.2,230,207.8,-0.903478,0,8505,2,1,1,1
2,1780401736.81,mudanca_target,mlp,1300,43.3333,230,186.6667,-0.811594,0,16271,2,0,2,0
3,1780401766.923,mudanca_target,mlp,1318,43.9333,230,186.0667,-0.808986,0,24008,2,0,3,0
4,1780401797.036,mudanca_target,mlp,1307,43.5667,230,186.4333,-0.81058,0,31683,2,0,4,0
5,1780401827.152,mudanca_target,mlp,1320,44.0,230,186.0,-0.808696,0,39384,2,0,5,0
6,1780401857.273,mudanca_target,mlp,1308,43.6,230,186.4,-0.810435,0,47057,2,0,6,0
7,1780401887.369,mudanca_target,mlp,1315,43.8333,230,186.1667,-0.80942,0,56075,2,0,7,0
8,1780401917.473,mudanca_target,mlp,1306,43.5333,230,186.4667,-0.810725,0,63684,2,0,8,0
9,1780401947.568,mudanca_target,mlp,1320,44.0,230,186.0,-0.808696,0,71396,2,0,9,0
10,1780401977.653,mudanca_target,mlp,1296,43.2,230,186.8,-0.812174,0,79050,2,0,10,0
11,1780402007.753,mudanca_target,mlp,1313,43.7667,230,186.23329999999999,-0.80971,0,86779,2,0,11,0
12,1780402037.844,mudanca_target,mlp,1298,43.2667,230,186.73329999999999,-0.811884,0,94457,2,0,12,0
13,1780402067.949,mudanca_target,mlp,1315,43.8333,230,186.1667,-0.80942,0,102187,2,0,13,0
14,1780402098.062,mudanca_target,mlp,1315,43.8333,230,186.1667,-0.80942,0,109780,2,0,14,0
15,1780402128.154,mudanca_target,mlp,1317,43.9,230,186.1,-0.80913,0,117453,2,0,15,0
16,1780402158.252,mudanca_target,mlp,1311,43.7,230,186.3,-0.81,0,125081,2,0,16,0
17,1780402188.353,mudanca_target,mlp,1326,44.2,230,185.8,-0.807826,0,132793,2,0,17,0
18,1780402218.442,mudanca_target,mlp,1305,43.5,230,186.5,-0.81087,0,140392,2,0,18,0
19,1780402248.535,mudanca_target,mlp,1311,43.7,230,186.3,-0.81,0,148044,2,0,19,0
20,1780402278.652,mudanca_target,mlp,1313,43.7667,230,186.23329999999999,-0.80971,0,155541,2,0,20,0
21,1780402308.746,mudanca_target,mlp,1324,44.1333,230,185.8667,-0.808116,0,163190,2,0,21,0
22,1780402338.855,mudanca_target,mlp,1287,42.9,230,187.1,-0.813478,0,170785,2,0,22,0
23,1780402368.955,mudanca_target,mlp,1324,44.1333,230,185.8667,-0.808116,0,178481,2,0,23,0
24,1780402399.074,mudanca_target,mlp,1305,43.5,230,186.5,-0.81087,0,186114,2,0,24,0
25,1780402429.175,mudanca_target,mlp,1322,44.0667,230,185.9333,-0.808406,0,193803,2,0,25,0
26,1780402459.296,mudanca_target,mlp,1307,43.5667,230,186.4333,-0.81058,0,201418,2,0,26,0
27,1780402489.403,mudanca_target,mlp,1313,43.7667,230,186.23329999999999,-0.80971,0,209051,2,0,27,0
28,1780402519.51,mudanca_target,mlp,1296,43.2,230,186.8,-0.812174,0,216602,2,0,28,0
29,1780402549.622,mudanca_target,mlp,1325,44.1667,230,185.8333,-0.807971,0,224274,2,0,29,0
30,1780402579.732,mudanca_target,mlp,1318,43.9333,230,186.0667,-0.808986,0,231919,2,0,30,0
31,1780402609.832,mudanca_target,mlp,1318,43.9333,230,186.0667,-0.808986,0,239600,2,0,31,0
32,1780402639.953,mudanca_target,mlp,1305,43.5,230,186.5,-0.81087,0,247260,2,0,32,0
33,1780402670.07,mudanca_target,mlp,1309,43.6333,230,186.3667,-0.81029,0,254995,2,0,33,0
34,1780402700.173,mudanca_target,mlp,1284,42.8,230,187.2,-0.813913,0,262600,2,0,34,0
35,1780402730.295,mudanca_target,mlp,1325,44.1667,230,185.8333,-0.807971,0,270294,2,0,35,0
36,1780402760.403,mudanca_target,mlp,1301,43.3667,230,186.6333,-0.811449,0,277944,2,0,36,0
37,1780402790.529,mudanca_target,mlp,1321,44.0333,230,185.9667,-0.808551,0,285660,2,0,37,0
38,1780402820.626,mudanca_target,mlp,1300,43.3333,230,186.6667,-0.811594,0,293264,2,0,38,0
39,1780402850.714,mudanca_target,mlp,1323,44.1,230,185.9,-0.808261,0,300954,2,0,39,0
40,1780402880.833,mudanca_target,mlp,1324,44.1333,230,185.8667,-0.808116,0,308597,2,0,40,0
41,1780402910.943,mudanca_target,mlp,1332,44.4,230,185.6,-0.806957,0,316305,2,0,41,0
42,1780402941.053,mudanca_target,mlp,1314,43.8,230,186.2,-0.809565,0,323949,2,0,42,0
43,1780402971.142,mudanca_target,mlp,1318,43.9333,230,186.0667,-0.808986,0,331579,2,0,43,0
44,1780403001.267,mudanca_target,mlp,1312,43.7333,230,186.26670000000001,-0.809855,0,339229,2,0,44,0
45,1780403031.381,mudanca_target,mlp,1322,44.0667,230,185.9333,-0.808406,0,346918,2,0,45,0
46,1780403061.493,mudanca_target,mlp,1299,43.3,230,186.7,-0.811739,0,354509,2,0,46,0
47,1780403091.611,mudanca_target,mlp,1326,44.2,230,185.8,-0.807826,0,362194,2,0,47,0
48,1780403121.73,mudanca_target,mlp,1304,43.4667,230,186.5333,-0.811014,0,369828,2,0,48,0
49,1780403151.835,mudanca_target,mlp,1326,44.2,230,185.8,-0.807826,0,377493,2,0,49,0
50,1780403181.952,mudanca_target,mlp,1313,43.7667,230,186.23329999999999,-0.80971,0,385132,2,0,50,0
51,1780403212.062,mudanca_target,mlp,1324,44.1333,230,185.8667,-0.808116,0,392838,2,0,51,0
52,1780403242.148,mudanca_target,mlp,1312,43.7333,230,186.26670000000001,-0.809855,0,400495,2,0,52,0
53,1780403272.248,mudanca_target,mlp,1325,44.1667,230,185.8333,-0.807971,0,408188,2,0,53,0
54,1780403302.353,mudanca_target,mlp,1310,43.6667,230,186.3333,-0.810145,0,415831,2,0,54,0
55,1780403332.448,mudanca_target,mlp,1316,43.8667,230,186.1333,-0.809275,0,423521,2,0,55,0
56,1780403362.554,mudanca_target,mlp,1312,43.7333,230,186.26670000000001,-0.809855,0,431181,2,0,56,0
57,1780403392.657,mudanca_target,mlp,1327,44.2333,230,185.76670000000001,-0.807681,0,438905,2,0,57,0
58,1780403422.769,mudanca_target,mlp,1293,43.1,230,186.9,-0.812609,0,447806,2,0,58,0
59,1780403452.888,mudanca_target,mlp,1316,43.8667,230,186.1333,-0.809275,0,455500,2,0,59,0
60,1780403483.007,mudanca_target,mlp,1303,43.4333,230,186.5667,-0.81116,0,463176,2,0,60,0
61,1780403513.113,mudanca_target,mlp,1319,43.9667,230,186.0333,-0.80884,0,470904,2,0,61,0
62,1780403543.223,mudanca_target,mlp,1300,43.3333,230,186.6667,-0.811594,0,478544,2,0,62,0
63,1780403573.342,mudanca_target,mlp,1318,43.9333,230,186.0667,-0.808986,0,486260,2,0,63,0
64,1780403603.457,mudanca_target,mlp,1314,43.8,230,186.2,-0.809565,0,493875,2,0,64,0
65,1780403633.539,mudanca_target,mlp,1313,43.7667,230,186.23329999999999,-0.80971,0,501592,2,0,65,0
66,1780403663.635,mudanca_target,mlp,1310,43.6667,230,186.3333,-0.810145,0,509237,2,0,66,0
67,1780403693.753,mudanca_target,mlp,1314,43.8,230,186.2,-0.809565,0,516945,2,0,67,0
68,1780403723.863,mudanca_target,mlp,1310,43.6667,230,186.3333,-0.810145,0,524568,2,0,68,0
69,1780403753.974,mudanca_target,mlp,1322,44.0667,230,185.9333,-0.808406,0,532279,2,0,69,0
70,1780403784.091,mudanca_target,mlp,1299,43.3,230,186.7,-0.811739,0,539902,2,0,70,0
71,1780403814.193,mudanca_target,mlp,1315,43.8333,230,186.1667,-0.80942,0,547634,2,0,71,0
72,1780403844.284,mudanca_target,mlp,1322,44.0667,30,14.066699999999997,0.46889,0,555274,1,-1,1,1
73,1780403874.508,mudanca_target,mlp,670,22.3333,30,7.666699999999999,-0.255557,0,563583,1,0,2,0
74,1780403904.622,mudanca_target,mlp,666,22.2,30,7.800000000000001,-0.26,0,571867,1,0,3,0
75,1780403934.721,mudanca_target,mlp,667,22.2333,30,7.7667,-0.25889,0,580192,1,0,4,0
76,1780403964.84,mudanca_target,mlp,655,21.8333,30,8.166699999999999,-0.272223,0,588421,1,0,5,0
77,1780403994.932,mudanca_target,mlp,667,22.2333,30,7.7667,-0.25889,0,596802,1,0,6,0
78,1780404025.044,mudanca_target,mlp,660,22.0,30,8.0,-0.266667,0,605057,1,0,7,0
79,1780404055.163,mudanca_target,mlp,670,22.3333,30,7.666699999999999,-0.255557,0,613408,1,0,8,0
80,1780404085.288,mudanca_target,mlp,662,22.0667,30,7.933299999999999,-0.264443,0,621715,1,0,9,0
81,1780404115.406,mudanca_target,mlp,663,22.1,30,7.899999999999999,-0.263333,0,630083,1,0,10,0
82,1780404145.503,mudanca_target,mlp,660,22.0,30,8.0,-0.266667,0,638298,1,0,11,0
83,1780404175.608,mudanca_target,mlp,671,22.3667,30,7.633299999999998,-0.254443,0,646669,1,0,12,0
84,1780404205.724,mudanca_target,mlp,662,22.0667,30,7.933299999999999,-0.264443,0,654993,1,0,13,0
85,1780404235.813,mudanca_target,mlp,665,22.1667,30,7.833300000000001,-0.26111,0,663372,1,0,14,0
86,1780404265.903,mudanca_target,mlp,661,22.0333,30,7.9666999999999994,-0.265557,0,671703,1,0,15,0
87,1780404296.022,mudanca_target,mlp,664,22.1333,30,7.866700000000002,-0.262223,0,680094,1,0,16,0
88,1780404326.134,mudanca_target,mlp,664,22.1333,30,7.866700000000002,-0.262223,0,688362,1,0,17,0
89,1780404356.249,mudanca_target,mlp,663,22.1,30,7.899999999999999,-0.263333,0,696719,1,0,18,0
90,1780404386.36,mudanca_target,mlp,668,22.2667,30,7.7333,-0.257777,0,705000,1,0,19,0
91,1780404416.483,mudanca_target,mlp,666,22.2,30,7.800000000000001,-0.26,0,713377,1,0,20,0
92,1780404446.593,mudanca_target,mlp,665,22.1667,30,7.833300000000001,-0.26111,0,721704,1,0,21,0
93,1780404476.693,mudanca_target,mlp,670,22.3333,30,7.666699999999999,-0.255557,0,730071,1,0,22,0
94,1780404506.806,mudanca_target,mlp,655,21.8333,30,8.166699999999999,-0.272223,0,738335,1,0,23,0
95,1780404536.93,mudanca_target,mlp,671,22.3667,30,7.633299999999998,-0.254443,0,746700,1,0,24,0
96,1780404567.044,mudanca_target,mlp,660,22.0,30,8.0,-0.266667,0,754983,1,0,25,0
97,1780404597.157,mudanca_target,mlp,675,22.5,30,7.5,-0.25,0,763358,1,0,26,0
